t_sec,x1_load,x2_load,x3_load,x4_load,x5_load,x6_diff,y_lower_t-1,y_upper_t-1,y_lower_t-2,y_upper_t-2,y_lower_t-3,y_upper_t-3,dt_current,dt_prev,dt_prev2,y_lower,y_upper,C组推进压力,E组推进压力
65880.0,1.693432,2.012804,2.132161,1.842448,1.382017,99.85533000000001,1291.176,1265.809,1218.031,1192.469,1144.398,1119.422,60.0,60.0,60.0,1335.316,1310.242,158.1742,58.31887
65940.0,1.433738,1.730324,1.851128,1.770833,1.288701,95.64527000000001,1335.316,1310.242,1291.176,1265.809,1218.031,1192.469,60.0,60.0,60.0,1408.656,1383.777,151.9676,56.32233
66060.0,1.598669,1.981698,2.148438,1.766855,1.392867,111.40043999999999,1408.656,1383.777,1335.316,1310.242,1291.176,1265.809,120.0,60.0,60.0,1467.641,1443.055,170.081,58.68056
66120.0,1.539352,1.84932,1.885127,1.74009,1.343316,101.38892999999999,1467.641,1443.055,1408.656,1383.777,1335.316,1310.242,60.0,120.0,60.0,1540.687,1516.199,158.6806,57.29167
66180.0,1.479311,1.850043,2.055845,1.729601,1.292679,117.04285999999999,1540.687,1516.199,1467.641,1443.055,1408.656,1383.777,60.0,60.0,120.0,1614.906,1589.637,165.5527,48.50984
66300.0,1.663773,2.118056,2.225116,1.811342,1.3784,119.86397,1614.906,1589.637,1540.687,1516.199,1467.641,1443.055,120.0,60.0,60.0,1733.266,1708.582,169.7627,49.89873
66360.0,1.518736,1.914063,2.1148,1.775897,1.363209,116.69559,1733.266,1708.582,1614.906,1589.637,1540.687,1516.199,60.0,120.0,60.0,1808.461,1783.484,165.7986,49.10301
66420.0,1.595775,1.854384,2.029803,1.705367,1.300998,108.05842,1808.461,1783.484,1733.266,1708.582,1614.906,1589.637,60.0,60.0,120.0,1883.949,1858.875,157.6678,49.60938
66480.0,1.512948,1.916594,2.144459,1.762153,1.266276,110.34438,1883.949,1858.875,1808.461,1783.484,1733.266,1708.582,60.0,60.0,60.0,1959.73,1933.582,160.1997,49.85532
66540.0,1.467014,1.838469,2.015336,1.693432,1.319806,108.75291,1959.73,1933.582,1883.949,1858.875,1808.461,1783.484,60.0,60.0,60.0,2034.535,2008.582,161.7911,53.03819
72720.0,1.576244,1.972656,2.140119,1.657624,1.178385,112.57231,759.7305,694.9102,685.4141,620.3984,610.9023,547.5469,60.0,60.0,60.0,833.8516,770.2031,177.5752,65.00289
72780.0,1.542245,1.920573,1.995081,1.778429,1.265191,107.37845000000002,833.8516,770.2031,759.7305,694.9102,685.4141,620.3984,60.0,60.0,60.0,908.8516,845.6915,172.092,64.71355
72840.0,1.806279,2.292752,2.313368,1.865234,1.376953,85.60475000000001,908.8516,845.6915,833.8516,770.2031,759.7305,694.9102,60.0,60.0,60.0,954.457,893.8359,157.1904,71.58565
72900.0,1.714771,2.072483,2.184245,1.948423,1.445313,124.20433000000001,954.457,893.8359,908.8516,845.6915,833.8516,770.2031,60.0,60.0,60.0,1029.164,966.7852,193.0122,68.80787
72960.0,1.745515,2.090567,2.173033,1.84498,1.335359,110.37324,1029.164,966.7852,954.457,893.8359,908.8516,845.6915,60.0,60.0,60.0,1103.969,1042.664,179.456,69.08276
73020.0,1.605179,1.927083,2.044633,1.901765,1.363209,109.46184,1103.969,1042.664,1029.164,966.7852,954.457,893.8359,60.0,60.0,60.0,1178.773,1117.957,178.7182,69.25636
73080.0,1.756366,2.211371,2.235966,1.82364,1.329933,110.83623,1178.773,1117.957,1103.969,1042.664,1029.164,966.7852,60.0,60.0,60.0,1253.773,1193.152,180.136,69.29977
73140.0,1.841363,2.21535,2.299624,1.955657,1.582755,72.81541999999999,1253.773,1193.152,1178.773,1117.957,1103.969,1042.664,60.0,60.0,60.0,1304.75,1246.375,146.9329,74.11748
73200.0,1.715495,2.192925,2.222584,1.878255,1.360315,122.82987999999999,1304.75,1246.375,1253.773,1193.152,1178.773,1117.957,60.0,60.0,60.0,1378.188,1318.055,186.1256,63.29572
